ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution
Fri143021,-0.02,27,1.75,12.3256,0.1429764935,0.964705363514957
Fri144138,-0.019,27,1.75,12.4864,0.1415589835,0.963466281639791
Fri145304,-0.018,27,1.75,12.696,0.1403413945,0.972845601573441
Fri150458,-0.017,27,1.75,12.9912,0.1388792061,0.957577957416993
Fri151713,-0.016,27,1.75,13.0984,0.1374850915,0.959008783440834
Fri152943,-0.015,27,1.75,13.2008,0.1362142737,0.964502602299792
Fri154221,-0.014,27,1.75,13.312,0.1351357724,0.983019759693887
Fri155506,-0.013,27,1.75,13.436,0.1339956653,0.986583062064223
Fri160757,-0.012,27,1.75,13.5752,0.1328952902,0.980824467626274
Fri162054,-0.011,27,1.75,13.7264,0.1319186825,0.979802884898866
Fri163345,-0.01,27,1.75,13.8888,0.1310805241,0.989711436411306
Fri164642,-0.009,27,1.75,14.0864,0.1302533203,0.981213029447479
Fri165944,-0.008,27,1.75,14.2896,0.1294405603,0.962801502417834
Fri171301,-0.007,27,1.75,14.4472,0.1287209927,0.956040127303183
Fri172628,-0.006,27,1.75,14.6112,0.1281204512,0.956157938686326
Fri174003,-0.005,27,1.75,14.784,0.1276021586,0.946324649647157
Fri175346,-0.004,27,1.75,14.972,0.1271576598,0.902840993496587
Fri180820,-0.003,27,1.75,15.1712,0.1268215739,0.821695459126209
Fri182225,-0.002,27,1.75,Inf,0.1265859926,NaN
Fri183646,-0.001,27,1.75,Inf,0.126443146,NaN
Fri185111,-0.05,27,3,24.2936,0.6370141868,0.992888064938982
Fri190509,-0.04,27,3,25.3472,0.6049567324,0.999039083053176
Fri191941,-0.03,27,3,26.7336,0.5775640377,0.992952593228168
Fri193456,-0.029,27,3,26.936,0.5751067089,0.992896157700139
Fri195024,-0.028,27,3,27.1232,0.5728662611,0.997415565643524
Fri200546,-0.027,27,3,27.284,0.5705588637,0.997957928693685
Fri202124,-0.026,27,3,27.4496,0.568328755,0.997771343139431
Fri203700,-0.025,27,3,27.6232,0.5660898272,0.992531020153802
Fri205241,-0.024,27,3,27.7968,0.563925857,0.986481492931173
Fri210826,-0.023,27,3,27.9632,0.5618403298,0.980382002379043
Fri212416,-0.022,27,3,28.112,0.559925581,0.979092523829688
Fri214020,-0.021,27,3,28.2528,0.5582096698,0.983982218364095
Fri215629,-0.02,27,3,28.4096,0.5566203054,0.989816973979766
Fri221233,-0.019,27,3,28.5784,0.5548673857,0.987945642626184
Fri222840,-0.018,27,3,28.7256,0.5531797529,0.987232213797284
Fri224454,-0.017,27,3,28.8864,0.5515618455,0.985020354152058
Fri230114,-0.016,27,3,29.0616,0.5499595322,0.975575831019009
Fri231736,-0.015,27,3,29.2456,0.548463269,0.966703096306022
Fri233412,-0.014,27,3,29.4344,0.54719024,0.970087563102726
Fri235054,-0.013,27,3,29.6312,0.5460292778,0.978659478338698
Sat000730,-0.012,27,3,29.844,0.5448801258,0.977099123739625
Sat002414,-0.011,27,3,30.0728,0.5438180076,0.97348508655433
Sat004112,-0.01,27,3,30.3192,0.5428635789,0.970635230566535
Sat005809,-0.009,27,3,30.5928,0.5419848237,0.964141657415883
Sat011523,-0.008,27,3,30.852,0.5411895125,0.948950686405854
Sat013245,-0.007,27,3,31.0416,0.5405209119,0.939285697839135
Sat015006,-0.006,27,3,31.22,0.5399372026,0.928272231456058
Sat020749,-0.005,27,3,31.424,0.539428681,0.89784422012075
Sat022526,-0.004,27,3,31.6504,0.5390138573,0.842476624091858
Sat024317,-0.003,27,3,Inf,0.5386882387,NaN
Sat030111,-0.002,27,3,Inf,0.5384528849,NaN
Sat135403,-0.35,27,0.9,3.34975,0.3085829754,0.619274143997036
Sat135524,-0.65,27,0.9,3.320875,0.5560919349,0.597974590316543
Sat135653,-0.95,27,0.9,3.3139375,0.8008937718,0.589696486475176
Sat135822,-0.35,27,0.95,3.58075,0.3368389684,0.735794658942406
Sat135947,-0.65,27,0.95,3.534875,0.6045180841,0.706369888314286
Sat140115,-0.95,27,0.95,3.5229375,0.8721633311,0.708259157129802
Sat140244,-0.35,27,0.995,3.76975,0.3619815693,0.809548864058793
Sat140407,-0.65,27,0.995,3.709875,0.6500280445,0.796341697725963
Sat140534,-0.95,27,0.995,3.6969375,0.9378941732,0.796411680588994
